name,at,user_class,subcription_during_event,custom_answer_was,custom_question_marked_as
Skipped Practice Question,2023-10-23T11:34:24,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:34:22,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:34:21,fnp_testprep,Mo (1225),,
Tagged Practice Question,2023-10-23T11:34:15,fnp_testprep,Mo (1225),correct,
Viewed Study Goals Completion Screen,2023-10-23T11:34:15,fnp_testprep,Mo (1225),,
Completed Goal,2023-10-23T11:34:15,fnp_testprep,Mo (1225),,
Expanded Answer Choice Rationale,2023-10-23T11:34:08,fnp_testprep,Mo (1225),,
Answered Practice Question,2023-10-23T11:34:06,fnp_testprep,Mo (1225),correct,
Tagged Practice Question,2023-10-23T11:34:00,fnp_testprep,Mo (1225),correct,
Expanded Explanation,2023-10-23T11:33:03,fnp_testprep,Mo (1225),,
Expanded Answer Choice Rationale,2023-10-23T11:32:39,fnp_testprep,Mo (1225),,
Answered Practice Question,2023-10-23T11:32:37,fnp_testprep,Mo (1225),correct,
Skipped Practice Question,2023-10-23T11:32:25,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:32:24,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:32:21,fnp_testprep,Mo (1225),,
Tagged Practice Question,2023-10-23T11:32:19,fnp_testprep,Mo (1225),correct,
Answered Practice Question,2023-10-23T11:32:17,fnp_testprep,Mo (1225),correct,
Tagged Practice Question,2023-10-23T11:32:07,fnp_testprep,Mo (1225),correct,
Answered Practice Question,2023-10-23T11:32:04,fnp_testprep,Mo (1225),correct,
Tagged Practice Question,2023-10-23T11:31:57,fnp_testprep,Mo (1225),correct,
Answered Practice Question,2023-10-23T11:31:55,fnp_testprep,Mo (1225),correct,
Skipped Practice Question,2023-10-23T11:31:45,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:31:36,fnp_testprep,Mo (1225),,
Tagged Practice Question,2023-10-23T11:31:30,fnp_testprep,Mo (1225),correct,
Expanded Explanation,2023-10-23T11:31:24,fnp_testprep,Mo (1225),,
Answered Practice Question,2023-10-23T11:31:21,fnp_testprep,Mo (1225),correct,
Skipped Practice Question,2023-10-23T11:30:59,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:30:57,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:30:56,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:30:55,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:30:52,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:30:39,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:30:35,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:30:33,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:30:28,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:30:22,fnp_testprep,Mo (1225),,
Tapped Previous Practice Question,2023-10-23T11:30:20,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:30:19,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:30:17,fnp_testprep,Mo (1225),,
Skipped Practice Question,2023-10-23T11:30:12,fnp_testprep,Mo (1225),,
Tagged Practice Question,2023-10-23T11:30:04,fnp_testprep,Mo (1225),correct,
Answered Practice Question,2023-10-23T11:30:02,fnp_testprep,Mo (1225),correct,
Skipped Practice Question,2023-10-23T11:29:51,fnp_testprep,Mo (1225),,
Selected Category Tag Filter,2023-10-23T11:29:46,fnp_testprep,Mo (1225),,
Tagged Practice Question,2023-10-23T11:29:44,fnp_testprep,Mo (1225),correct,
Answered Practice Question,2023-10-23T11:29:40,fnp_testprep,Mo (1225),correct,
Viewed Streak Animation,2023-10-23T11:29:21,fnp_testprep,Mo (1225),,
Tagged Practice Question,2023-10-23T11:29:21,fnp_testprep,Mo (1225),incorrect,
Expanded Answer Choice Rationale,2023-10-23T11:29:14,fnp_testprep,Mo (1225),,
Expanded Explanation,2023-10-23T11:26:51,fnp_testprep,Mo (1225),,
